Question,True_Answers,davinci-002,Davinci Evaluation,GPT-3.5_turbo-Search_type_QARetrieval,GPT-3.5_turbo-Search_type_QARetrieval,GPT-3.5-turbo_MMR_Search_type_QARetrieval,GPT-3.5-turbo_MMR_Search_type_QARetrieval_Evaluation,GPT-3.5-turbo_without data,GPT-3.5-turbo_without data_Evaluation,GPT-3.5-turbo_custom-prompt-basic-retriever,GPT-3.5-turbo_custom-prompt-multi-query-retriever
By what date should graduate students submit their Application for Graduation for summar 2024?,"June 28, 2024","June 28, 2024.",1," Graduate students should submit their Application for Graduation by June 28, 2024.
",1," Graduate students should submit their Application for Graduation for Spring 2024 by the end of Winter 2024.
",0,"Graduate students at Portland State University should submit their Application for Graduation for the summer 2024 term by the deadline specified by the university. The exact deadline may vary, so students should check the university's academic calendar or contact the Office of the Registrar for the most up-to-date information. Typically, the application deadline for graduation is several months before the actual graduation date to allow for processing and review of degree requirements.",0,Answer: June 28,Answer: June 28
Do PSU offere LLM course?,Yes,PSU does offer LLM course.,1," Yes, PSU offers LLM course.
",1," Yes, PSU offers LLM course.
",1,"Yes, Portland State University offers an LLM (Master of Laws) program through its Law School, the Northwestern School of Law. The LLM program at PSU is designed for practicing attorneys or law professionals who wish to deepen their knowledge in a specific area of law or gain expertise in a particular legal field. Students in the LLM program have the opportunity to take specialized courses, participate in legal research projects, and engage with faculty members who are experts in their respective fields.",0,I don't know.,I don't know.
Date of Degree Conferral (Fall 2023 Graduates)?,"December 9, 2023","Date of Degree Conferral (Fall 2023 Graduates): August 18, 2023",0," The Date of Degree Conferral for Fall 2023 Graduates is August 19, 2023.
",0," The Date of Degree Conferral for Fall 2023 Graduates is August 18, 2023.
",0,"For Fall 2023 graduates at Portland State University, the date of degree conferral is typically at the end of the fall term, which is usually in December. Specific dates for degree conferral ceremonies may vary each year, so it is recommended to check the university's academic calendar or contact the registrar's office for the most up-to-date information.",0,I don't know.,I don't know.
Can you provide me contact details of graduate advisor for computer science.,The CS Graduate Advisor can be contacted at gccs@pdx.edu for any questions or concerns regarding the Master's program in Computer Science.,The graduate advisor for computer science is: gccs@pdx.edu,1," The graduate advisor for computer science can be contacted at gccs@pdx.edu.
",1," The contact details of the graduate advisor for computer science are: gccs@pdx.edu
",1,You can contact the graduate advisor for computer science at Portland State University by emailing csgrad@pdx.edu or calling (503) 725-4571.,0,gccs@pdx.edu,gccs@pdx.edu
When is the deadline for submitting the Master's Thesis Committee appointment for Spring 2024?,"March 11, 2024","The deadline for submitting the Master's Thesis Committee appointment for Spring 2024 is September 18, 2023.",0," The deadline for submitting the Master's Thesis Committee appointment for Spring 2024 is May 10.
",0," The deadline for submitting the Master's Thesis Committee appointment for Spring 2024 is May 10th.
",0,"The deadline for submitting the Master's Thesis Committee appointment for Spring 2024 at Portland State University is typically set by the individual academic department or program. It is important to consult with your advisor or the graduate coordinator in your department to determine the specific deadline for submitting the committee appointment. Generally, it is recommended to submit the committee appointment well in advance of any thesis defense or presentation deadlines.",0,April 5,April 5
By what date should graduate students submit their Application for Graduation for winter 2024?,"January 12, 2024",The application for graduation for winter 2024 is due on January 12.,1," Graduate students should submit their Application for Graduation by January 12, 2024 for winter 2024.
",1," Graduate students should submit their Application for Graduation for winter 2024 by January 12, 2024.
",1,"The Application for Graduation for winter 2024 for graduate students at Portland State University should be submitted by the deadline set by the university, typically several months before the start of the winter term. It is advisable for students to check with the university's Registrar's Office or their academic advisor for the specific deadline for the winter 2024 term.",0,Answer: January 12,Answer: January 12
By what date should graduate students submit their Application for Graduation for summer 2024?,"June 28, 2024","The deadline for submitting the Application for Graduation for summer 2024 is June 28, 2023.",0," Graduate students should submit their Application for Graduation for summer 2024 by June 28.
",1," Graduate students should submit their Application for Graduation for summer 2024 by June 19, 2024.
",0,"Graduate students should submit their Application for Graduation for summer 2024 by June 1, 2024.",0,Answer: June 28,Answer: June 28
On what date will the degrees be conferred for students graduating in Spring 2024?,"June 15, 2024","The degrees will be conferred on June 14, 2024.",0," The degrees for students graduating in Spring 2024 will be conferred on June 19.
",0," The date for degree conferral for students graduating in Spring 2024 is not specified.
",0,"The exact date for when degrees will be conferred for students graduating in Spring 2024 at Portland State University has not been announced yet. Typically, degrees are conferred at the end of the academic term in which the student has completed all graduation requirements. Students should refer to the university's academic calendar or graduation website for updates on specific dates for the conferral of degrees in Spring 2024.",0,I don't know.,I don't know.
When does the degree awarding process begin for Spring 2024 graduates?,"June 19, 2024","The degree awarding process begins on August 23, 2023.",0," The degree awarding process begins on June 19 for Spring 2024 graduates.
",1," The degree awarding process begins in June 2024 for Spring 2024 graduates.
",0,"The degree awarding process for Spring 2024 graduates at Portland State University typically begins after the conclusion of the academic term, which is usually in June. Exact dates may vary, so it is recommended for students to check the university's academic calendar for specific information.",0,June 18,June 18
What is the deadline for submitting the Master's Thesis Committee appointment for Summer 2024?,"June 3, 2024","The deadline for submitting the Master's Thesis Committee appointment for Summer 2024 is June 3, 2024.",1," The deadline for submitting the Master's Thesis Committee appointment for Summer 2024 is July 26.
",0," The deadline for submitting the Master's Thesis Committee appointment for Summer 2024 is July 26.
",0,"The deadline for submitting the Master's Thesis Committee appointment for Summer 2024 at Portland State University is typically set by the specific academic department or graduate program. It is important for students to check with their department or program advisor for the exact deadline. Generally, appointments need to be made well in advance of the thesis defense, so students should plan accordingly and make sure to adhere to all departmental guidelines and deadlines.",0,Answer: June 3,Answer: June 3
